kde,prefix,LogLikelihood,Bandwidth,trained.on,evaluated.on,query.size,query.id,result.file
kendall,prefix,kendalls.tau,split,query.size,query.id,result.file
ndcg,prefix,ndcg.at,split,fraction.at,at,query.size,query.id,result.file
map,prefix,map.relevant,split,fraction.relevant,relevant,query.size,query.id,result.file
precision,prefix,precision.at.relevant,split,fractions.relevant,fractions.at,relevant,at,query.size,query.id,result.file
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5880356385235482,eval,0.2,0.3,3142,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.4803500397772478,eval,0.2,0.4,3142,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.39625763747454124,eval,0.2,0.5,3142,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.8343401809597715,eval,0.25,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7553207739307537,eval,0.25,0.25,3927,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.6949999999999998,eval,0.25,0.3,3927,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.5858440731901353,eval,0.25,0.4,3927,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.4908668533604888,eval,0.25,0.5,3927,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.8681781294542091,eval,0.3,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7832159524819686,eval,0.3,0.3,4713,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.6806618933969772,eval,0.3,0.4,4713,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.580465885947047,eval,0.3,0.5,4713,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9100582984058658,eval,0.4,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.8258981702466192,eval,0.4,0.4,6284,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7382650203665988,eval,0.4,0.5,6284,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9395221554605814,eval,0.5,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.8594093686354388,eval,0.5,0.5,7855,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
kendall,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.7055495302191602,test,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9485279994759982,test,0.01,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9400232232164378,test,0.05,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9489466707317719,test,0.1,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9583146182150664,test,0.15,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9627920099825633,test,0.2,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9658525213325067,test,0.25,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9687540816684348,test,0.3,4713,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9740068140037862,test,0.4,6284,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
ndcg,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.9779272412943909,test,0.5,7855,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
map,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.09204031592992135,test,0.01,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.12405063291139241,test,0.01,0.01,157,157,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.09282442748091603,test,0.01,0.05,157,785,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.07180661577608141,test,0.01,0.1,157,1571,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.057632583792957125,test,0.01,0.15,157,2356,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.04622971683105312,test,0.01,0.2,157,3142,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
precision,ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10,0.0377469450101833,test,0.01,0.25,157,3927,15710,1,/home/nguyenh/rt-ranking/result/3/ranknet-s1-dtrain3.jara-ranknet-m10-p1.0-e1.0-ep100-imp30-it10-7818103617540303571.csv
